Whatsapp,Instagram,Snapchat,Telegram,Facebook,BeReal,TikTok,WeChat,Twitter,Linkedin,Messages,TotalSocialMediaScreenTime,Number of times opened (hourly intervals),SocialMediaAddiction
8.9,7.1,1.9,0.02,0.0,0.0,0.0,0.0,0.0,4.5,0.1,22.52,111.0,0.0
11.85,11.16,2.45,0.06,0.0,0.0,0.0,0.0,0.0,5.5,0.04,31.06,119.0,0.0
12.25,16.75,3.25,0.01,0.0,0.0,0.0,0.0,0.0,9.5,0.01,41.77,124.0,0.0
12.33,12.9,3.12,0.06,0.0,0.0,0.0,0.0,0.0,9.0,0.2,37.61,121.0,0.0
8.5,11.9,1.9,0.05,0.0,0.0,0.0,0.0,0.0,7.5,0.1,29.95,116.0,0.0
9.5,11.25,1.2,0.16,0.0,0.0,0.0,0.0,0.0,8.0,0.01,30.12,115.0,0.0
8.25,11.75,1.67,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,28.17,113.0,0.0
5.7,12.0,2.0,0.25,0.0,0.35,0.0,0.0,0.0,2.5,0.2,23.0,150.0,0.0
4.5,7.25,1.4,0.35,0.0,0.21,0.0,0.0,0.0,2.67,0.8,17.18,121.0,0.0
6.8,4.5,2.1,0.33,0.0,0.65,0.0,0.0,0.0,1.55,0.5,16.43,110.0,0.0
5.9,3.5,3.25,0.72,0.0,0.42,0.0,0.0,0.0,1.95,0.4,16.14,85.0,1.0
5.5,4.5,1.35,0.82,0.0,0.15,0.0,0.0,0.0,0.85,0.7,13.87,69.0,1.0
6.2,7.0,2.5,0.96,0.0,0.14,0.0,0.0,0.0,0.25,0.0,17.05,200.0,0.0
5.7,6.5,2.1,0.59,0.0,0.32,0.0,0.0,0.0,1.7,0.5,17.41,124.0,0.0
10.5,14.8,12.1,0.0,0.0,0.0,0.0,0.0,0.5,2.3,0.0,40.2,88.0,1.0
5.2,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,0.0,19.4,95.0,1.0
3.3,4.0,4.3,0.0,0.0,5.4,0.0,0.0,1.2,1.5,0.0,19.7,30.0,1.0
3.5,7.0,10.0,0.0,0.0,8.6,0.0,0.0,0.0,1.0,0.0,30.1,100.0,1.0
5.23,6.3,7.12,0.0,0.0,1.57,0.0,0.0,0.0,1.0,2.13,23.35,80.0,1.0
4.3,12.3,5.2,0.0,0.0,0.5,0.0,0.0,0.0,3.0,1.37,26.67,128.0,0.0
3.7,11.2,4.3,0.0,0.0,0.2,0.0,0.0,0.0,2.0,1.7,23.1,75.0,1.0
8.4,5.8,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,15.16,135.0,0.0
5.73,10.25,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,17.63,150.0,0.0
4.2,9.75,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,15.35,108.0,0.0
5.25,5.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,11.89,128.0,0.0
5.0,8.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.5,80.0,1.0
6.0,6.5,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,14.5,102.0,1.0
